Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,11.170000,11.180000,10.840000,10.960000,10.304999,255993900
2011-07-01,10.980000,11.140000,10.920000,11.090000,10.427234,137487700
2011-07-05,11.060000,11.070000,10.910000,11.000000,10.342611,110261100
2011-07-06,10.830000,10.850000,10.660000,10.740000,10.098150,145455700
2011-07-07,10.900000,10.960000,10.850000,10.920000,10.267390,113940400
2011-07-08,10.750000,10.800000,10.610000,10.700000,10.060539,129514100
2011-07-11,10.530000,10.550000,10.300000,10.350000,9.731457,145323900
2011-07-12,10.270000,10.400000,10.200000,10.210000,9.599823,145156100
2011-07-13,10.270000,10.360000,10.150000,10.200000,9.590422,164765500
2011-07-14,10.300000,10.330000,10.060000,10.070000,9.468190,148536100
2011-07-15,10.120000,10.180000,9.880000,10.000000,9.402373,183416000
2011-07-18,9.880000,9.930000,9.530000,9.720000,9.139104,226934200
2011-07-19,9.750000,9.850000,9.400000,9.570000,8.998075,322430300
2011-07-20,9.660000,10.000000,9.630000,9.850000,9.261335,249783800
2011-07-21,10.030000,10.280000,10.000000,10.230000,9.618626,238464700
2011-07-22,10.260000,10.270000,10.050000,10.130000,9.524603,138441500
2011-07-25,9.970000,10.070000,9.880000,10.010000,9.411777,130582700
2011-07-26,9.970000,10.090000,9.910000,10.000000,9.402373,121168700
2011-07-27,9.920000,9.940000,9.680000,9.680000,9.101497,151491700
2011-07-28,9.720000,9.850000,9.690000,9.790000,9.204922,113623300
2011-07-29,9.640000,9.950000,9.600000,9.710000,9.129704,187926700
2011-08-01,10.040000,10.050000,9.700000,9.810000,9.223727,159616700
2011-08-02,9.760000,9.860000,9.470000,9.490000,8.922851,173972600
2011-08-03,9.490000,9.590000,9.320000,9.540000,8.969863,175691200
2011-08-04,9.370000,9.460000,8.770000,8.830000,8.302297,305309300
2011-08-05,8.970000,9.050000,8.030000,8.170000,7.681738,546781600
2011-08-08,7.400000,7.700000,6.310000,6.510000,6.120945,682052900
2011-08-09,7.020000,7.660000,6.680000,7.600000,7.145803,496094500
2011-08-10,7.530000,7.590000,6.740000,6.770000,6.365407,493986500
2011-08-11,7.100000,7.420000,6.960000,7.250000,6.816721,344079000
2011-08-12,7.490000,7.710000,7.130000,7.190000,6.760306,298997800
2011-08-15,7.460000,7.840000,7.350000,7.760000,7.296241,268370400
2011-08-16,7.610000,7.660000,7.340000,7.400000,6.957757,275997300
2011-08-17,7.460000,7.590000,7.400000,7.460000,7.014171,159346200
2011-08-18,7.050000,7.090000,6.780000,7.010000,6.591063,335205500
2011-08-19,6.800000,7.120000,6.750000,6.970000,6.553453,289217900
2011-08-22,7.200000,7.220000,6.420000,6.420000,6.036325,398777800
2011-08-23,6.370000,6.440000,6.010000,6.300000,5.923496,563788800
2011-08-24,6.360000,7.050000,6.320000,6.990000,6.572258,602753000
2011-08-25,8.290000,8.800000,7.380000,7.650000,7.192816,859643400
2011-08-26,7.620000,7.980000,7.450000,7.760000,7.296241,424194600
2011-08-29,8.100000,8.410000,7.960000,8.390000,7.888591,363420500
2011-08-30,8.290000,8.390000,8.050000,8.120000,7.634728,297220400
2011-08-31,8.280000,8.290000,8.110000,8.170000,7.691212,282263500
2011-09-01,8.180000,8.180000,7.910000,7.910000,7.446448,243549600
2011-09-02,7.310000,7.450000,7.170000,7.250000,6.825126,305988600
2011-09-06,6.910000,7.070000,6.800000,6.990000,6.580362,283101800
2011-09-07,7.230000,7.520000,7.100000,7.480000,7.041647,257251800
2011-09-08,7.380000,7.440000,7.200000,7.200000,6.778055,204593600
