Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,192.809998,193.279999,189.839996,191.809998,161.484100,782100
2011-07-01,192.050003,196.639999,191.100006,196.419998,165.365219,741100
2011-07-05,195.440002,196.350006,194.179993,194.509995,163.757202,402300
2011-07-06,194.190002,195.779999,193.089996,195.550003,164.632797,570600
2011-07-07,197.759995,199.100006,197.050003,198.490005,167.107971,414300
2011-07-08,195.250000,195.850006,193.860001,195.449997,164.548584,618200
2011-07-11,190.169998,192.449997,185.820007,186.380005,156.912628,835600
2011-07-12,185.399994,188.559998,183.500000,183.690002,154.647949,943500
2011-07-13,185.229996,187.000000,184.500000,185.050003,155.792877,765300
2011-07-14,186.350006,186.809998,181.759995,182.270004,153.452423,672400
2011-07-15,187.789993,187.800003,182.350006,184.539993,155.363571,745700
2011-07-18,184.240005,184.240005,178.779999,180.250000,151.751816,701000
2011-07-19,181.490005,183.940002,179.710007,183.690002,154.647949,1211500
2011-07-20,189.570007,191.490005,184.139999,184.500000,155.329880,915900
2011-07-21,184.750000,188.580002,184.750000,187.720001,158.040741,728600
2011-07-22,188.210007,189.990005,187.500000,187.919998,158.209152,572500
2011-07-25,185.500000,187.419998,184.199997,186.000000,156.592712,393400
2011-07-26,188.729996,188.729996,183.520004,184.419998,155.262497,762200
2011-07-27,184.580002,184.580002,175.649994,176.839996,148.880890,1612500
2011-07-28,177.339996,178.259995,174.050003,175.070007,147.390732,1279500
2011-07-29,172.500000,179.580002,172.380005,178.460007,150.244827,1276300
2011-08-01,181.399994,181.500000,175.089996,178.360001,150.160629,978800
2011-08-02,179.520004,179.520004,173.949997,174.490005,146.902451,1141800
2011-08-03,174.610001,176.710007,169.539993,173.449997,146.026901,1490600
2011-08-04,170.880005,172.679993,162.880005,163.250000,137.439514,1276000
2011-08-05,165.639999,167.559998,157.000000,161.580002,136.033600,1897300
2011-08-08,154.029999,159.740005,145.139999,145.250000,122.285423,1855300
2011-08-09,150.020004,156.690002,144.639999,156.539993,131.790466,2030800
2011-08-10,151.559998,155.119995,145.869995,148.059998,124.651146,1944200
2011-08-11,150.050003,164.520004,148.669998,161.979996,136.370377,1968300
2011-08-12,167.059998,168.500000,159.910004,161.070007,135.604218,947800
2011-08-15,162.630005,165.639999,162.009995,165.139999,139.030731,782900
2011-08-16,160.160004,164.809998,158.910004,161.160004,135.680008,874900
2011-08-17,162.330002,164.679993,159.380005,161.179993,135.696808,867500
2011-08-18,157.759995,157.759995,150.500000,152.279999,128.203964,1029400
2011-08-19,150.250000,156.039993,150.000000,151.330002,127.404167,1195500
2011-08-22,155.240005,156.470001,151.479996,152.169998,128.111343,1197200
2011-08-23,153.300003,159.440002,150.240005,159.410004,134.206665,1118000
2011-08-24,158.350006,163.729996,156.759995,163.729996,137.843658,707600
2011-08-25,165.220001,167.970001,157.009995,158.639999,133.558426,1036700
2011-08-26,158.050003,163.009995,154.580002,160.990005,135.536865,742600
2011-08-29,163.770004,168.289993,163.000000,168.179993,141.590073,594300
2011-08-30,167.250000,168.940002,165.639999,167.000000,140.596664,627400
2011-08-31,166.570007,167.339996,163.070007,164.750000,139.853867,1460800
