Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,23.500000,23.500000,22.730000,23.010000,20.915030,22250600
2011-07-01,23.080000,23.780001,22.930000,23.760000,21.596743,15368500
2011-07-05,23.660000,23.719999,23.110001,23.150000,21.042284,14713900
2011-07-06,23.030001,23.090000,22.559999,22.730000,20.660524,13424200
2011-07-07,23.030001,23.100000,22.719999,23.000000,20.905937,15305700
2011-07-08,22.540001,22.700001,22.250000,22.299999,20.269672,19202300
2011-07-11,22.040001,22.160000,21.500000,21.580000,19.615223,17617800
2011-07-12,21.490000,21.850000,21.200001,21.219999,19.288000,23072300
2011-07-13,21.389999,21.700001,21.260000,21.299999,19.360714,25317000
2011-07-14,21.559999,21.620001,21.000000,21.110001,19.188015,20070900
2011-07-15,21.340000,21.400000,20.790001,21.090000,19.169836,20598000
2011-07-18,20.900000,20.940001,20.180000,20.690001,18.806261,21011900
2011-07-19,20.389999,21.070000,20.350000,20.980000,19.069853,21836700
2011-07-20,21.129999,21.889999,21.059999,21.719999,19.742479,25314400
2011-07-21,22.950001,24.459999,22.750000,24.200001,21.996683,65705300
2011-07-22,23.900000,24.000000,23.600000,23.900000,21.724001,18845200
2011-07-25,23.420000,23.610001,23.190001,23.299999,21.178627,20313100
2011-07-26,23.340000,23.879999,23.200001,23.520000,21.378595,17133100
2011-07-27,23.320000,23.320000,22.500000,22.540001,20.531462,21904800
2011-07-28,22.580000,23.059999,22.320000,22.360001,20.367506,17508500
2011-07-29,21.940001,22.770000,21.879999,22.250000,20.267311,20361100
2011-08-01,22.750000,22.860001,22.090000,22.290001,20.303740,16584200
2011-08-02,22.020000,22.230000,21.290001,21.309999,19.411076,25073000
2011-08-03,21.340000,21.469999,20.730000,21.020000,19.146921,28502900
2011-08-04,20.740000,20.850000,19.600000,19.700001,17.944532,32116000
2011-08-05,20.020000,20.389999,19.049999,20.020000,18.236025,41270300
2011-08-08,19.280001,19.809999,16.950001,17.120001,15.594443,47863500
2011-08-09,17.650000,18.400000,16.500000,18.209999,16.587311,43213400
2011-08-10,17.860001,17.889999,16.410000,16.450001,14.984146,53088300
2011-08-11,17.090000,18.450001,16.850000,18.209999,16.587311,44330100
2011-08-12,18.559999,18.889999,16.809999,16.889999,15.384935,46290400
2011-08-15,17.360001,17.959999,17.190001,17.920000,16.323154,24868100
2011-08-16,17.760000,17.860001,16.940001,17.070000,15.548893,26127600
2011-08-17,17.370001,17.620001,16.930000,17.010000,15.494246,21215200
2011-08-18,16.230000,16.340000,15.440000,16.200001,14.756426,39008800
2011-08-19,16.080000,16.670000,15.910000,16.000000,14.574245,36263500
2011-08-22,16.490000,16.540001,15.620000,15.670000,14.273652,22168100
2011-08-23,15.750000,16.020000,15.210000,15.760000,14.355632,28129300
2011-08-24,15.730000,16.379999,15.680000,16.330000,14.874838,26105100
2011-08-25,17.680000,17.879999,16.660000,16.770000,15.275635,33819500
2011-08-26,16.590000,16.900000,16.000000,16.610001,15.129889,20501400
2011-08-29,17.010000,17.350000,16.799999,17.320000,15.776619,14894100
2011-08-30,17.110001,17.420000,16.889999,17.040001,15.521568,15852800
2011-08-31,17.209999,17.730000,17.100000,17.500000,15.940581,19171200
2011-09-01,17.500000,17.549999,16.920000,16.930000,15.421370,17439100
2011-09-02,16.440001,16.570000,15.850000,15.960000,14.537809,16513300
2011-09-06,15.310000,15.490000,15.150000,15.330000,13.963946,21634500
2011-09-07,15.720000,16.400000,15.510000,16.330000,14.874838,15972200
2011-09-08,16.129999,16.270000,15.710000,15.840000,14.428502,19166600
2011-09-09,15.640000,15.740000,15.210000,15.280000,13.918402,19772400
2011-09-12,14.950000,15.180000,14.710000,15.050000,13.708898,23244800
2011-09-13,15.160000,15.850000,15.080000,15.540000,14.155234,20470200
2011-09-14,15.700000,15.870000,15.180000,15.480000,14.100580,20106900
2011-09-15,15.860000,16.639999,15.770000,16.590000,15.111672,27515900
2011-09-16,16.830000,16.930000,16.020000,16.450001,14.984146,27178100
2011-09-19,15.860000,15.950000,15.150000,15.150000,13.799989,26679100
2011-09-20,15.290000,15.500000,15.060000,15.120000,13.772659,30159300
2011-09-21,15.120000,15.230000,13.790000,13.820000,12.588506,41513500
2011-09-22,13.270000,13.320000,12.490000,13.060000,11.896224,63458900
2011-09-23,12.950000,13.860000,12.890000,13.720000,12.497417,37300800
2011-09-26,13.940000,14.610000,13.630000,14.610000,13.308107,29554000
2011-09-27,15.350000,15.830000,14.810000,14.970000,13.636027,42455500
2011-09-28,14.980000,15.060000,14.140000,14.160000,12.898206,24231400
2011-09-29,14.650000,15.160000,14.440000,15.090000,13.745335,44847100
2011-09-30,14.420000,14.480000,13.490000,13.510000,12.306129,51532900
2011-10-03,13.540000,14.050000,12.360000,12.470000,11.358803,53873700
2011-10-04,11.900000,14.010000,11.580000,14.010000,12.761575,76594400
2011-10-05,13.820000,14.780000,13.410000,14.480000,13.189690,67720700
2011-10-06,14.460000,15.530000,13.920000,15.180000,13.827315,49437800
2011-10-07,15.430000,15.480000,14.190000,14.240000,12.971079,47983700
2011-10-10,14.750000,15.440000,14.750000,15.290000,13.927513,36348200
2011-10-11,15.100000,15.950000,14.880000,15.390000,14.018600,35000400
2011-10-12,15.730000,16.290001,15.340000,15.840000,14.428502,36426800
2011-10-13,15.590000,15.590000,14.800000,15.140000,13.790876,30447600
2011-10-14,15.380000,15.440000,14.830000,15.220000,13.863749,30698400
2011-10-17,15.180000,15.390000,15.000000,15.250000,13.891077,29580900
2011-10-18,15.550000,16.940001,15.450000,16.629999,15.148106,51760300
2011-10-19,17.070000,17.719999,16.400000,16.639999,15.157215,66831000
2011-10-20,16.610001,16.770000,16.000000,16.610001,15.129889,35380300
2011-10-21,16.920000,17.200001,16.730000,17.020000,15.503351,33004700
2011-10-24,17.299999,17.420000,16.910000,17.150000,15.621769,26051800
2011-10-25,16.930000,16.969999,16.459999,16.520000,15.047906,23647600
2011-10-26,16.969999,17.040001,16.360001,16.639999,15.157215,30490700
2011-10-27,18.049999,19.570000,17.900000,19.410000,17.733665,64100300
2011-10-28,18.980000,19.670000,18.830000,19.309999,17.642302,32877200
2011-10-31,18.629999,18.660000,17.620001,17.639999,16.116531,32488300
2011-11-01,16.139999,16.780001,15.440000,16.230000,14.828301,48498000
